Last Name,First Name,Middle Initial,Date of Birth,Gender,Cell Phone,Email Address,Street Address,City,State,ZIP Code,Emergency Contact Name,Relationship,Phone Number,Primary Insurance Company,Member ID,Group Number,Secondary Insurance Company,Secondary Member ID,Secondary Group Number
Cortez,Kathy,,1988-11-18,Female,555-012-3460,kathy.cortez@email.com,3737 Cedar St,Richmond,VA,23220,Mark Cortez,Parent,555-012-3461,Humana,HU901234,GRP041,,,
Ruiz,Lawrence,,1993-04-25,Male,555-123-4571,lawrence.ruiz@email.com,3838 Walnut Dr,Anchorage,AK,99501,Jane Ruiz,Sibling,555-123-4572,BlueCross,BC345678,GRP042,,,
Alvarez,Shirley,,1985-09-30,Female,555-234-5673,shirley.alvarez@email.com,3939 Ash St,Sioux Falls,SD,57101,Tom Alvarez,Spouse,555-234-5674,Aetna,AE678901,GRP043,,,
Gomez,Ralph,,1992-01-07,Male,555-345-6784,ralph.gomez@email.com,4040 Pine Rd,Fargo,ND,58102,Susan Gomez,Parent,555-345-6785,Cigna,CI789012,GRP044,,,
Molina,Teresa,,1987-06-14,Female,555-456-7895,teresa.molina@email.com,4141 Oak Dr,Billings,MT,59101,David Molina,Sibling,555-456-7896,Humana,HU234567,GRP045,,,
Aguilar,Victor,,1995-03-21,Male,555-567-8906,victor.aguilar@email.com,4242 Elm St,Topeka,KS,66601,Mary Aguilar,Spouse,555-567-8907,BlueCross,BC678901,GRP046,,,
Castro,Alice,,1984-10-28,Female,555-678-9017,alice.castro@email.com,4343 Maple Ln,Lincoln,NE,68501,John Castro,Parent,555-678-9018,Aetna,AE901234,GRP047,,,
Sandoval,Wayne,,1991-08-02,Male,555-789-0128,wayne.sandoval@email.com,4444 Birch Ave,Salem,OR,97301,Jane Sandoval,Sibling,555-789-0129,Cigna,CI234567,GRP048,,,
Delgado,Joan,,1989-12-09,Female,555-890-1239,joan.delgado@email.com,4545 Cedar St,Eugene,OR,97401,Paul Delgado,Spouse,555-890-1240,Humana,HU567890,GRP049,,,
Medina,Alan,,1994-05-16,Male,555-901-2350,alan.medina@email.com,4646 Walnut Dr,Santa Fe,NM,87501,Susan Medina,Parent,555-901-2351,BlueCross,BC901234,GRP050,,
